crimeDate,crimeTime,crimeCode,location,description,weapon,post,district,neighborhood,Location 1,Total Incidents
04/27/2009,1940,1O,2800 ERDMAN AV,HOMICIDE,OTHER,415,NORTHEASTERN,Belair-Edison,"(39.3232700000, -76.5764100000)",1
04/25/2009,2025,1F,3200 NORMOUNT AV,HOMICIDE,FIREARM,814,SOUTHWESTERN,Rosemont,"(39.3020100000, -76.6704700000)",1
04/23/2009,0853,1F,1600 E EAGER ST,HOMICIDE,FIREARM,322,EASTERN,Gay Street,"(39.3017700000, -76.5962100000)",1
04/22/2009,1331,1O,700 YALE AV,HOMICIDE,OTHER,833,SOUTHWESTERN,Yale Heights,"(39.2742200000, -76.6892800000)",1
04/21/2009,0542,1F,3100 WINDSOR AV,HOMICIDE,FIREARM,812,SOUTHWESTERN,Walbrook,"(39.3122400000, -76.6695800000)",1
04/21/2009,2014,1F,5100 HILLBURN AV,HOMICIDE,FIREARM,427,NORTHEASTERN,Waltherson,"(39.3416800000, -76.5587400000)",1
04/18/2009,0206,1K,0 N CLINTON ST,HOMICIDE,KNIFE,223,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2931500000, -76.5708900000)",1
04/18/2009,0645,1F,2100 N WOLFE ST,HOMICIDE,FIREARM,312,EASTERN,Darley Park,"(39.3143000000, -76.5918800000)",1
04/15/2009,1256,1F,1800 AIKEN ST,HOMICIDE,FIREARM,313,EASTERN,Oliver,"(39.3105800000, -76.6009700000)",1
04/15/2009,1350,1F,0 GORMAN AV,HOMICIDE,FIREARM,721,WESTERN,Penrose/Fayette Street Outreach,"(39.2886400000, -76.6536200000)",1
04/13/2009,0911,1F,2100 CHRISTIAN ST,HOMICIDE,FIREARM,835,SOUTHWESTERN,Carrollton Ridge,"(39.2816900000, -76.6499500000)",1
04/11/2009,1405,1F,2800 WINWOOD CT,HOMICIDE,FIREARM,924,SOUTHERN,Cherry Hill,"(39.2465000000, -76.6287900000)",1
04/08/2009,1635,1F,1900 WILKENS AV,HOMICIDE,FIREARM,934,SOUTHERN,Carrollton Ridge,"(39.2820900000, -76.6467800000)",1
04/05/2009,1634,1F,1600 GOUGH ST,HOMICIDE,FIREARM,212,SOUTHEASTERN,Fells Point,"(39.2876000000, -76.5945700000)",1
04/05/2009,0406,1F,4700 HOMESDALE AV,HOMICIDE,FIREARM,436,NORTHEASTERN,Parkside,"(39.3214000000, -76.5558100000)",1
04/04/2009,0057,1F,4200 WELBOURNE RD,HOMICIDE,FIREARM,421,NORTHEASTERN,Hillen,"(39.3423300000, -76.5882600000)",1
04/03/2009,0213,1K,400 WATTY CT,HOMICIDE,KNIFE,123,CENTRAL,Upton,"(39.3012500000, -76.6257800000)",1
04/01/2009,0058,1F,2900 ALLENDALE RD,HOMICIDE,FIREARM,622,NORTHWESTERN,Garwyn Oaks,"(39.3203700000, -76.6808100000)",1
04/01/2009,1507,1F,3800 LYNDALE AV,HOMICIDE,FIREARM,413,NORTHEASTERN,Belair-Edison,"(39.3170700000, -76.5643800000)",1
04/01/2009,2348,1F,1300 BONAPARTE AV,HOMICIDE,FIREARM,312,EASTERN,East Baltimore Midway,"(39.3146500000, -76.5987100000)",1
03/31/2009,1648,1F,1500 W FAYETTE ST,HOMICIDE,FIREARM,712,WESTERN,Franklin Square,"(39.2896900000, -76.6412500000)",1
